Name,Price
SonyPlaystation 5 Slim
Dijital 2. Dualsense Ps5 Kol (İTHALATÇI GARANTİLİ) Tk2,22.399 TL
SonyPlaystation 5 Slim
Digital Edition 1 Tb Türkçe Menü (İTHALATÇI GARANTİLİ),19.299 TL
SonyPlaystation 5 Slim 1tb
Cd Versiyon Dual Sense Kol Türkçe Menü,23.449 TL
Genel MarkalarPs5 Dualsense
Controller Black Oyun Kolu Siyah(ithalatçı Garantili),3.199 TL
SonyPlaystation 5 Slim
Standart Edition + 2. PS5 DualSense+ Şarj + Fc 24 + Gta 5 (İthalatçı Garantili),26.999 TL
SonyPlaystation 5 Slim 1tb
Türkçe Menü,20.285 TL
Sony Playstation 5 1TB
Dijital Slim PS5D Slim,18.979 TL
SonyPlaystation 5 Slim
Dijital 2. Dualsense Ps5 Kol Şarj Istasyonu Cfi 2016b (İTHALATÇI GARANTİLİ),24.135 TL
SonyPlaystation 5 Slim
Digital Edition 1tb (CFI-2016) (İTHALATÇI GARANTİLİ),19.599 TL
SonyPlaystation 5 Digital
Edition 825 GB + 2. PS5 DualSense (İthalatçı Garantili),26.888 TL
SonyPlaystation 5 Standart
Edition 825 GB Türkçe Menü + 2. PS5 DualSense (İthalatçı Garantili),28.999 TL
SonyPlaystation 5 Slim
Digital Edition 1 TB (İthalatçı Garantili),19.788 TL
SonyPlaystation 5 Slim Cd
Edition 2. Dualsense Ps5 Kol Sarj Istasyonu Fifa Fc 24,27.469 TL
SonyPlaystation 5 Slim
Standart Edition 1 TB + DualSense + EA FC 24 (İthalatçı Garantili),25.829 TL
SonyPlaystation 5 Slim
Standart Edition + EA FC 24 (İthalatçı Garantili),22.400 TL
SonyPlaystation 5 Slim
Standart Edition 1TB+ 2.DualSense +3D Kulaklık + Şarj+Kamera(İthalatçı Garantili),35.999 TL
SonyPlaystation 5 Digital
Edition 825 GB - Türkçe Menü (İthalatçı Garantili),23.999 TL
SonyPlaystation 5 Disk Li 2.
Dualsense Kol Ps5 Ea Sports Fc 24 (İTHALATÇI GARANTİLİ),24.958 TL
SonyPlaystation 5 Slim
Digital Edition 1 TB +DualSense Kol (İthalatçı Garantili),23.100 TL
SonyPlaystation 5 Slim
Standart Edition 1 TB SSD (Bilkom Garantili),25.606,68 TL
SonyPlaystation 5 Standart
Edition+2.DualSense+Pulse 3D Kulaklık+Şarj İstasyonu (İthalatçı Garantili),30.440 TL
SonyPlaystation 5 Slim
Digital Edition 1TB +2.DualSense (İthalatçı Garantili),24.300 TL
SonyPlaystation 5 - Diskli
Oyun Konsolu Fifa 23 Ps5 Oyun ( Eurasia Garantili),37.999 TL
SonyPlaystation 5 Disk Li 2.
Ps5 Dualsense Kol Pes 2021 (İTHALATÇI GARANTİLİ),31.250 TL